Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.9992428544387658,1.0,0.9987944544906571,0.9993968636911942,0.9999886884247693
XGBoost,0.9987696384629945,0.9990957045968349,0.9989451476793249,0.9990204204656771,0.99998937862258
MLP,0.9976339201211433,0.9978912486820304,0.9983423749246534,0.9981167608286252,0.9999322455815837
Decision Tree,0.9969714177550634,0.9971394158386029,0.9980409885473177,0.9975899984937491,0.996406274204854
KNN,0.9959303426083664,0.9959380171505943,0.997588908981314,0.9967627794925845,0.9983854355991759
SVM,0.9845731591898542,0.9931433795520341,0.982218203737191,0.9876505795893629,0.9975656723216874
Logistic Regression,0.9777588491387469,0.9812058337092167,0.9834237492465341,0.982313539549936,0.994817841460029
BiLSTM,0.9554230550823396,0.9547130845257412,0.9752863170584689,0.964890048453224,0.9847345499220076
LSTM,0.9198372137043347,0.9413020277481323,0.930379746835443,0.9358090185676392,0.978918981513435
GRU,0.919931856899489,0.9739685658153242,0.8964737793851718,0.9336158192090396,0.9782025178416134
Naive Bayes,0.8521673291690327,0.8203282828282829,0.9790536467751657,0.8926902995328387,0.969872846391109
CNN,0.5868824531516184,1.0,0.3422242314647378,0.5099360053890198,0.9863815919642569
